,KNN__knn_params,features_droper__features_todrop,reduction__reduction_params,mean_test_score,std_test_score,mean_fit_time,mean_score_time
61,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'NCA', 'n_components': 100}","-1,30832845138055","0,221867127663569","164,543193864822","1,20177478790283"
37,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'NCA', 'n_components': 100}","-1,31038591436575","0,254708588879406","156,291374254227","1,02219281196594"
35,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",['imdb_score'],"{'reduction_type': 'PCA', 'n_components': 10}","-1,31177238895558","0,221708025415855","5,16810388565064","0,39531364440918"
33,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",['imdb_score'],"{'reduction_type': 'PCA', 'n_components': 200}","-1,31482160864346","0,248529787768689","14,3272344112396","1,63947896957397"
59,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",['imdb_score'],"{'reduction_type': 'PCA', 'n_components': 10}","-1,32727338935574","0,280795835044115","4,65256328582764","0,380630874633789"
57,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",['imdb_score'],"{'reduction_type': 'PCA', 'n_components': 200}","-1,33400504201681","0,261172102383919","12,0535192966461","1,42134938240051"
71,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'PCA', 'n_components': 10}","-1,33564105642257","0,182669642217592","6,15540523529053","0,766922616958618"
11,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",['imdb_score'],"{'reduction_type': 'PCA', 'n_components': 10}","-1,3575150060024","0,270963708806585","4,84428992271423","0,38497257232666"
47,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'PCA', 'n_components': 10}","-1,35980616246499","0,212525705255372","5,87936706542969","0,719885349273681"
23,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'PCA', 'n_components': 10}","-1,36123289315726","0,177799037013326","7,56388516426086","0,81972336769104"
9,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",['imdb_score'],"{'reduction_type': 'PCA', 'n_components': 200}","-1,36550700280112","0,235997131594217","11,6754430294037","1,38096351623535"
40,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'PCA', 'n_components': 100}","-1,38259927971189","0,185302375285017","8,91690335273743","1,11738004684448"
16,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'PCA', 'n_components': 100}","-1,38803345338135","0,180463254263077","8,47946300506592","1,04008584022522"
64,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'PCA', 'n_components': 100}","-1,39153589435774","0,182605276797455","9,10640645027161","1,12192521095276"
39,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'PCA', 'n_components': 200}","-1,39595710284114","0,196538883171846","12,4462861061096","1,70000472068787"
63,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'PCA', 'n_components': 200}","-1,4093050020008","0,175471852106643","14,2965020179749","1,69822850227356"
65,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'PCA', 'n_components': 10}","-1,41923705482193","0,203715697665858","5,94369888305664","0,614322376251221"
15,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'PCA', 'n_components': 200}","-1,43353973589436","0,204199546305948","12,539922618866","1,56500558853149"
17,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'PCA', 'n_components': 10}","-1,4595593437375","0,170565850238676","5,65606441497803","0,608943319320679"
41,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration', 'imdb_score']","{'reduction_type': 'PCA', 'n_components': 10}","-1,4662618647459","0,181489272702285","5,36279296875","0,607377529144287"
